ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type,Crash Date,Crash Hour,Crash Day,Crash Month,Is_Weekend,Severity_Label,Is_Severe,Highway_Type,Road_Type_Label,Road_Name,Num_Lanes,Speed_Limit,Road_Risk_Level,Is_Intersection,Intersection_Degree,Road_Curvature,Temperature,Precipitation,Windspeed,Visibility,Weather_Code,Weather_Condition,is_wet
"1,826","13,676,776",False,140240841,,IH 35 SVRD SB,RD,45,False,30.28929477,-97.72342247,2,0,2,0,1,0,2,0,Passenger car,POINT (-97.72342247 30.28929477),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-01-24 12:15:00,2014 Jan 24 06:15:00 PM,False,False,0,,"250,000","520,000",A8A7984394,1.0,N IH 35 SVRD SB RD & E 32ND ST,ANGLE - BOTH GOING STRAIGHT,2014-01-24,12,Friday,1,False,Non-Incapacitating Injury,0,tertiary,Neighborhood Connector,East 32nd Street,2.0,,2,True,6,1.0,0.3,0.0,11.0,,3,Partly Cloudy,False
"4,051","13,724,815",False,140571026,1900,OLTORF,ST,35,False,30.23094676,-97.7338405,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.7338405 30.23094676),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-02-26 16:44:00,2014 Feb 26 10:44:00 PM,False,False,0,,"20,000","40,000",C19CA012A1,1.0,1900 E OLTORF ST,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,2014-02-26,16,Wednesday,2,False,Not Injured,0,secondary,City Connector Road,East Oltorf Street,5.0,,3,True,6,1.0243,2.5,0.5,16.0,,53,Rain,True
"3,628","13,719,152",False,140541481,11244,SOUTH BAY,LN,25,False,30.1857748,-97.89478243,5,0,0,0,4,0,0,0,Passenger car,POINT (-97.89478243 30.1857748),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-02-23 20:23:00,2014 Feb 24 02:23:00 AM,False,False,0,,"20,000","80,000",108AC7BFCF,1.0,SOUTH BAY LN & ESCARPMENT BLVD,ONE MOTOR VEHICLE - TURNING RIGHT,2014-02-23,20,Sunday,2,True,Not Injured,0,tertiary,Neighborhood Connector,South Bay Lane,,,2,True,6,,21.8,0.0,12.5,,2,Partly Cloudy,False
"4,440","13,733,968",False,140640709,8600,BURNET,RD,45,False,30.36771476,-97.72778246,2,0,1,1,1,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.72778246 30.36771476),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-03-05 10:47:00,2014 Mar 05 04:47:00 PM,False,False,0,,"250,000","470,000",19B611E983,1.0,BURNET RD & COLFAX AVE,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,2014-03-05,10,Wednesday,3,False,Non-Incapacitating Injury,0,residential,Residential Street,Colfax Avenue,,,1,True,6,1.0,4.9,0.0,7.8,,3,Partly Cloudy,False
"4,844","13,743,659",False,,300,MARTIN LUTHER KING,BLVD,30,False,30.27996478,-97.73572246,3,0,0,1,7,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.73572246 30.27996478),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-03-10 11:15:00,2014 Mar 10 04:15:00 PM,False,False,0,,"200,000","340,000",99A07CFAF3,1.0,E MARTIN LUTHER KING BLVD & SAN JACINTO ST,ANGLE - BOTH GOING STRAIGHT,2014-03-10,11,Monday,3,False,Possible Injury,0,secondary,City Connector Road,East Martin Luther King Jr Boulevard,5.0,30 mph,3,True,6,1.0,14.8,0.0,3.6,,1,Partly Cloudy,False
"2,932","13,705,212",False,140441101,11900,JOLLYVILLE RD,,40,False,30.42401678,-97.75682047,1,1,0,0,1,0,1,0,Large passenger vehicle,POINT (-97.75682047 30.42401678),0,1,0,0,0,0,0,0,0,0,False,False,0,0,2014-02-13 16:23:00,2014 Feb 13 10:23:00 PM,False,False,0,,"3,000,000","3,020,000",184CA9B8A5,1.0,11900 JOLLYVILLE RD,ANGLE - ONE STRAIGHT-ONE LEFT TURN,2014-02-13,16,Thursday,2,False,Incapacitating Injury,1,tertiary,Neighborhood Connector,Jollyville Road,5.0,45 mph,2,True,6,1.0051,17.6,0.0,17.0,,0,Clear,False
"3,851","13,722,436",False,140560324,400,S LAMAR BLVD NB,BLVD,-1,False,30.26086196,-97.75852016,3,0,0,2,3,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.75852016 30.26086196),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-02-25 07:42:00,2014 Feb 25 01:42:00 PM,False,False,0,,"200,000","460,000",DA850BF775,1.0,S LAMAR BLVD NB BLVD & BARTON SPRINGS RD,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,2014-02-25,7,Tuesday,2,False,Possible Injury,0,primary,Major City Road,South Lamar Boulevard,3.0,30 mph,3,True,8,1.007,18.1,0.1,6.3,,51,Rain,True
"2,027","13,682,522",False,140320613,1200,W BEN WHITE EB AT BANISTER TRN,BLVD,50,False,30.22809641,-97.77896999,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.77896999 30.22809641),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-02-01 09:05:00,2014 Feb 01 03:05:00 PM,False,False,0,,"20,000","20,000",5C9596F3EC,1.0,1200 W BEN WHITE EB AT BANISTER TRN BLVD,ONE MOTOR VEHICLE - TURNING RIGHT,2014-02-01,9,Saturday,2,True,Not Injured,0,secondary,City Connector Road,West Ben White Boulevard,3.0,,3,True,6,1.0,17.3,0.0,21.6,,3,Partly Cloudy,False
"5,388","13,756,670",False,140751402,5800,ED BLUESTEIN BLVD NB,BLVD,55,False,30.295849,-97.662985,2,0,1,0,1,0,1,0,Motor vehicle – other & Passenger car,POINT (-97.662985 30.295849),0,0,0,0,0,0,0,0,0,0,False,False,0,0,2014-03-16 16:57:00,2014 Mar 16 09:57:00 PM,False,False,0,,"250,000","270,000",36449BC70B12,1.0,5800 ED BLUESTEIN BLVD NB BLVD,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,2014-03-16,16,Sunday,3,True,Non-Incapacitating Injury,0,secondary,City Connector Road,Ed Bluestein Boulevard,4.0,,3,True,3,1.0001,15.4,0.0,32.6,,0,Clear,False
"3,909","13,722,754",False,140520240,4900,N IH 35 NB,HWY,60,False,30.30783,-97.71218,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.71218 30.30783),0,0,0,0,0,0,0,0,0,0,True,False,0,0,2014-02-21 03:29:00,2014 Feb 21 09:29:00 AM,False,False,0,,"20,000","20,000",,,4900 N IH 35,ONE MOTOR VEHICLE - GOING STRAIGHT,2014-02-21,3,Friday,2,False,Not Injured,0,residential,Residential Street,East 49th Street,,,1,True,4,1.0,10.1,0.0,11.7,,1,Partly Cloudy,False
