Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47
ID,Crash ID,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost,Location ID,Location group,Address,Collision type
41,"13,626,771",FALSE,140020854,1600,WILLIAM CANNON,DR,35,FALSE,30.19047362,-97.7706779,2,0,2,0,3,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.7706779 30.19047362),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 02 01:13:00 PM,2014 Jan 02 07:13:00 PM,FALSE,FALSE,0,,"250,000","560,000",B65110E3B2,1,1600 E WILLIAM CANNON DR,ANGLE - BOTH GOING STRAIGHT
900,"13,656,264",FALSE,140231805,11400,NOT REPORTED,EXPY,50,FALSE,30.4155857,-97.70603286,3,0,0,2,12,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.70603286 30.4155857),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 23 10:59:00 PM,2014 Jan 24 04:59:00 AM,FALSE,FALSE,0,,"200,000","640,000",D5E266BAEC2,2,11400 STATE HIGHWAY 1,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE
"2,885","13,704,849",FALSE,140521917,1900,BEN WHITE,BLVD,35,FALSE,30.23003786,-97.78833923,2,0,1,0,2,0,1,0,Motorcycle & Passenger car,POINT (-97.78833923 30.23003786),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Feb 21 10:40:00 PM,2014 Feb 22 04:40:00 AM,FALSE,FALSE,0,,"250,000","290,000",1D9396E34B,1,W BEN WHITE BLVD & MANCHACA RD,ANGLE - BOTH GOING STRAIGHT
"2,075","13,683,590",FALSE,140251330,6700,NOT REPORTED,HWY,55,FALSE,30.37073072,-97.78679645,2,0,1,0,4,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.78679645 30.37073072),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,2014 Jan 25 06:53:00 PM,2014 Jan 26 12:53:00 AM,FALSE,FALSE,0,,"250,000","330,000",D65BE8660B01,1,6700 LOOP 360,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
"1,618","13,670,665",FALSE,140320274,1000,STASSNEY,LN,45,FALSE,30.21065081,-97.78710017,2,0,1,0,1,0,1,0,Motorcycle & Passenger car,POINT (-97.78710017 30.21065081),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 01 02:12:00 AM,2014 Feb 01 08:12:00 AM,FALSE,FALSE,0,,"250,000","270,000",799733C0D0,1,1000 W STASSNEY LN,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED
"1,024","13,659,619",FALSE,140270789,1640,CHIPPEWAY,LN,25,FALSE,30.20403399,-97.79938088,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.79938088 30.20403399),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 27 12:23:00 PM,2014 Jan 27 06:23:00 PM,FALSE,FALSE,0,,"20,000","20,000",3AB7A4C240,1,1640 CHIPPEWAY LN,ONE MOTOR VEHICLE - GOING STRAIGHT
"3,215","13,711,309",FALSE,140451287,21400,12TH,ST,30,FALSE,30.27455125,-97.71480675,0,0,0,0,2,2,0,0,Large passenger vehicle & Passenger car,POINT (-97.71480675 30.27455125),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 14 04:09:00 PM,2014 Feb 14 10:09:00 PM,FALSE,FALSE,0,,"20,000","80,000",3EA379C0BC,1,21400 E 12TH ST,ONE MOTOR VEHICLE - GOING STRAIGHT
"1,185","13,663,383",FALSE,140131784,2500,LAMAR BLVD,BLVD,35,FALSE,30.29149771,-97.75066356,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.75066356 30.29149771),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 13 09:19:00 PM,2014 Jan 14 03:19:00 AM,FALSE,FALSE,0,,"20,000","20,000",386BABAC5F,1,2500 N LAMAR BLVD,ONE MOTOR VEHICLE - GOING STRAIGHT
616,"13,647,819",FALSE,140091225,9300,RESEARCH BLVD NB,BLVD,60,FALSE,30.38060476,-97.74100246,5,0,0,0,3,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.74100246 30.38060476),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Jan 09 04:35:00 PM,2014 Jan 09 10:35:00 PM,FALSE,FALSE,0,,"20,000","60,000",CC8575911B,1,9300 RESEARCH BLVD NB BLVD,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END
"2,338","13,688,421",FALSE,140331129,6700,ED BLUESTEIN BLVD NB,BLVD,55,FALSE,30.31048477,-97.66223248,2,0,2,0,1,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.66223248 30.31048477),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,2014 Feb 02 06:12:00 PM,2014 Feb 03 12:12:00 AM,FALSE,FALSE,0,,"250,000","520,000",671C47B0AB66,1,ED BLUESTEIN BLVD NB BLVD & LOYOLA LN,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE
